State,Year,Federal Taxes paid,Federal Spending received,Federal Spending received per dollar of tax paid,Electoral votes,Presidential voters,Electors per voter,Times voted R
Utah,2000,11635,10043,0.8632,5,770754,6.49E-06,6
Utah,2001,11372,11394,1.0019,5,770754,6.49E-06,6
Utah,2002,10771,12303,1.1422,5,770754,6.49E-06,6
Utah,2003,10530,13500,1.2821,5,770754,6.49E-06,6
Utah,2004,11245,13684,1.2169,5,927844,5.39E-06,7
Utah,2005,13134,14823,1.1286,5,927844,5.39E-06,7
Vermont,1981,1074,1129,1.0512,3,213207,1.41E-05,1
Vermont,1982,1103,1220,1.1061,3,213207,1.41E-05,1
Vermont,1983,1095,1340,1.2237,3,213207,1.41E-05,1
Vermont,1984,1226,1395,1.1378,3,234561,1.28E-05,2
Vermont,1985,1383,1454,1.0513,3,234561,1.28E-05,2
Vermont,1986,1513,1435,0.9484,3,234561,1.28E-05,2
Vermont,1987,1727,1474,0.8535,3,234561,1.28E-05,2
Vermont,1988,1899,1550,0.8162,3,243333,1.23E-05,3
Vermont,1989,2085,1737,0.8331,3,243333,1.23E-05,3
Vermont,1990,2094,1778,0.8491,3,243333,1.23E-05,3
Vermont,1991,2103,2028,0.9643,3,243333,1.23E-05,3
Vermont,1992,2154,2208,1.0251,3,289701,1.04E-05,3
Vermont,1993,2314,2317,1.0013,3,289701,1.04E-05,3
Vermont,1994,2498,2410,0.9648,3,289701,1.04E-05,3
Vermont,1995,2627,2664,1.0141,3,289701,1.04E-05,3
Vermont,1996,2837,2784,0.9813,3,258449,1.16E-05,3
Vermont,1997,3092,2757,0.8917,3,258449,1.16E-05,3
Vermont,1998,3349,2899,0.8656,3,258449,1.16E-05,3
Vermont,1999,3541,3168,0.8947,3,258449,1.16E-05,3
Vermont,2000,3854,3364,0.8729,3,294308,1.02E-05,3
Vermont,2001,3812,3739,0.9808,3,294308,1.02E-05,3
Vermont,2002,3622,4111,1.135,3,294308,1.02E-05,3
Vermont,2003,3441,4443,1.2912,3,294308,1.02E-05,3
Vermont,2004,3564,4633,1.2999,3,312309,9.61E-06,3
Vermont,2005,4085,4645,1.1371,3,312309,9.61E-06,3
Virginia,1981,13596,19094,1.4044,12,1866032,6.43E-06,1
Virginia,1982,14257,22339,1.5669,12,1866032,6.43E-06,1
Virginia,1983,14255,25253,1.7715,12,1866032,6.43E-06,1
Virginia,1984,15799,24252,1.535,12,2146635,5.59E-06,2
Virginia,1985,17566,26980,1.5359,12,2146635,5.59E-06,2
Virginia,1986,18733,28039,1.4968,12,2146635,5.59E-06,2
Virginia,1987,21305,31392,1.4735,12,2146635,5.59E-06,2
Virginia,1988,22950,35695,1.5553,12,2191609,5.48E-06,3
Virginia,1989,25287,32096,1.2693,12,2191609,5.48E-06,3
Virginia,1990,26051,36521,1.4019,12,2191609,5.48E-06,3
Virginia,1991,26867,39394,1.4663,13,2191609,5.93E-06,3
Virginia,1992,27740,41325,1.4897,13,2558665,5.08E-06,4
Virginia,1993,29730,44752,1.5053,13,2558665,5.08E-06,4
Virginia,1994,32157,45868,1.4264,13,2558665,5.08E-06,4
Virginia,1995,34045,51487,1.5123,13,2558665,5.08E-06,4
Virginia,1996,36780,50688,1.3781,13,2416642,5.38E-06,5
Virginia,1997,39467,53178,1.3474,13,2416642,5.38E-06,5
Virginia,1998,43725,55885,1.2781,13,2416642,5.38E-06,5
Virginia,1999,47484,58168,1.225,13,2416642,5.38E-06,5
Virginia,2000,52087,62808,1.2058,13,2739447,4.75E-06,6
Virginia,2001,52192,71312,1.3663,13,2739447,4.75E-06,6
Virginia,2002,50215,74548,1.4846,13,2739447,4.75E-06,6
Virginia,2003,48963,82454,1.684,13,2739447,4.75E-06,6
Virginia,2004,52202,90638,1.7363,13,3198367,4.07E-06,7
Virginia,2005,60185,95097,1.5801,13,3198367,4.07E-06,7
Washington,1981,12108,12540,1.0357,10,1742394,5.74E-06,1
Washington,1982,12073,13390,1.1091,10,1742394,5.74E-06,1
Washington,1983,11461,15279,1.3331,10,1742394,5.74E-06,1
Washington,1984,12396,14811,1.1948,10,1883910,5.31E-06,2
Washington,1985,13467,16670,1.2378,10,1883910,5.31E-06,2
Washington,1986,14334,16874,1.1772,10,1883910,5.31E-06,2
Washington,1987,16175,17619,1.0893,10,1883910,5.31E-06,2
Washington,1988,17337,18306,1.0559,10,1865253,5.36E-06,2
Washington,1989,19581,19520,0.9969,10,1865253,5.36E-06,2
Washington,1990,21408,20090,0.9384,10,1865253,5.36E-06,2
Washington,1991,22793,21769,0.9551,11,1865253,5.90E-06,2
Washington,1992,24009,24183,1.0072,11,2287565,4.81E-06,2
Washington,1993,25277,25115,0.9936,11,2287565,4.81E-06,2
Washington,1994,27362,26822,0.9803,11,2287565,4.81E-06,2
Washington,1995,29200,28831,0.9874,11,2287565,4.81E-06,2
Washington,1996,31958,29563,0.9251,11,2253837,4.88E-06,2
Washington,1997,35537,30488,0.8579,11,2253837,4.88E-06,2
Washington,1998,40265,31229,0.7756,11,2253837,4.88E-06,2
Washington,1999,45606,32156,0.7051,11,2253837,4.88E-06,2
Washington,2000,49822,33923,0.6809,11,2487433,4.42E-06,2
Washington,2001,46888,36960,0.7883,11,2487433,4.42E-06,2
Washington,2002,43263,40223,0.9297,11,2487433,4.42E-06,2
Washington,2003,41676,43368,1.0406,11,2487433,4.42E-06,2
Washington,2004,43645,44841,1.0274,11,2859084,3.85E-06,2
Washington,2005,49682,46338,0.9327,11,2859084,3.85E-06,2
West Virginia,1981,3835,4149,1.0819,6,737715,8.13E-06,0
West Virginia,1982,3975,4162,1.047,6,737715,8.13E-06,0
West Virginia,1983,3630,4732,1.3036,6,737715,8.13E-06,0
West Virginia,1984,3822,4826,1.2627,6,735742,8.16E-06,1
West Virginia,1985,4043,5017,1.2409,6,735742,8.16E-06,1
West Virginia,1986,4052,5409,1.3349,6,735742,8.16E-06,1
West Virginia,1987,4346,5325,1.2253,6,735742,8.16E-06,1
West Virginia,1988,4513,5861,1.2987,6,653311,9.18E-06,1
West Virginia,1989,4784,6223,1.3008,6,653311,9.18E-06,1
West Virginia,1990,4948,6726,1.3593,6,653311,9.18E-06,1
West Virginia,1991,5182,7633,1.473,5,653311,7.65E-06,1
West Virginia,1992,5348,8276,1.5475,5,683677,7.31E-06,1
West Virginia,1993,5654,9120,1.613,5,683677,7.31E-06,1
West Virginia,1994,6085,9282,1.5254,5,683677,7.31E-06,1
West Virginia,1995,6386,10208,1.5985,5,683677,7.31E-06,1
West Virginia,1996,6650,10066,1.5137,5,636459,7.86E-06,1
West Virginia,1997,6961,10298,1.4794,5,636459,7.86E-06,1
West Virginia,1998,7279,10719,1.4726,5,636459,7.86E-06,1
West Virginia,1999,7756,11135,1.4357,5,636459,7.86E-06,1
West Virginia,2000,8297,11751,1.4163,5,648124,7.72E-06,2
West Virginia,2001,8285,12554,1.5153,5,648124,7.72E-06,2
West Virginia,2002,7880,13362,1.6957,5,648124,7.72E-06,2
West Virginia,2003,7538,14226,1.8872,5,648124,7.72E-06,2
West Virginia,2004,7806,15183,1.945,5,755887,6.62E-06,3
West Virginia,2005,8815,16087,1.825,5,755887,6.62E-06,3
Wisconson,1981,11557,9051,0.7832,11,2273221,4.84E-06,1
Wisconson,1982,11475,9275,0.8083,11,2273221,4.84E-06,1
Wisconson,1983,10763,10552,0.9804,11,2273221,4.84E-06,1
Wisconson,1984,11946,10854,0.9086,11,2212016,4.97E-06,2
Wisconson,1985,12981,11457,0.8826,11,2212016,4.97E-06,2
Wisconson,1986,13560,12186,0.8987,11,2212016,4.97E-06,2
Wisconson,1987,15133,12192,0.8057,11,2212016,4.97E-06,2
Wisconson,1988,16184,13127,0.8111,11,2191608,5.02E-06,2
Wisconson,1989,17428,14617,0.8387,11,2191608,5.02E-06,2
Wisconson,1990,18125,15152,0.836,11,2191608,5.02E-06,2
Wisconson,1991,18799,16340,0.8692,11,2191608,5.02E-06,2
Wisconson,1992,19691,18050,0.9167,11,2531114,4.35E-06,2
Wisconson,1993,21067,19013,0.9025,11,2531114,4.35E-06,2
Wisconson,1994,23157,19635,0.8479,11,2531114,4.35E-06,2
Wisconson,1995,24729,19839,0.8023,11,2531114,4.35E-06,2
Wisconson,1996,26517,20095,0.7578,11,2196169,5.01E-06,2
Wisconson,1997,28707,21167,0.7373,11,2196169,5.01E-06,2
Wisconson,1998,30989,21913,0.7071,11,2196169,5.01E-06,2
Wisconson,1999,32432,22757,0.7017,11,2196169,5.01E-06,2
Wisconson,2000,35082,24308,0.6929,11,2598607,4.23E-06,2
Wisconson,2001,34361,26681,0.7765,10,2598607,3.85E-06,2
Wisconson,2002,32516,28845,0.8871,10,2598607,3.85E-06,2
Wisconson,2003,31257,30237,0.9674,10,2598607,3.85E-06,2
Wisconson,2004,32535,31554,0.9698,10,2997007,3.34E-06,2
Wisconson,2005,36961,33749,0.9131,10,2997007,3.34E-06,2
Wyoming,1981,1567,1568,1.0006,3,176713,1.70E-05,1
Wyoming,1982,1580,1091,0.6905,3,176713,1.70E-05,1
Wyoming,1983,1408,1228,0.8722,3,176713,1.70E-05,1
Wyoming,1984,1470,1471,1.0007,3,188968,1.59E-05,2
Wyoming,1985,1549,1552,1.0019,3,188968,1.59E-05,2
Wyoming,1986,1489,1523,1.0228,3,188968,1.59E-05,2
Wyoming,1987,1495,1535,1.0268,3,188968,1.59E-05,2
Wyoming,1988,1544,1626,1.0531,3,176551,1.70E-05,3
Wyoming,1989,1689,1716,1.016,3,176551,1.70E-05,3
Wyoming,1990,1788,1850,1.0347,3,176551,1.70E-05,3
Wyoming,1991,1882,1939,1.0303,3,176551,1.70E-05,3
Wyoming,1992,1933,2128,1.1009,3,199884,1.50E-05,4
Wyoming,1993,2079,2214,1.0649,3,199884,1.50E-05,4
Wyoming,1994,2241,2344,1.046,3,199884,1.50E-05,4
Wyoming,1995,2357,2492,1.0573,3,199884,1.50E-05,4
Wyoming,1996,2609,2504,0.9598,3,211571,1.42E-05,5
Wyoming,1997,2875,2612,0.9085,3,211571,1.42E-05,5
Wyoming,1998,3113,2748,0.8827,3,211571,1.42E-05,5
Wyoming,1999,3393,2931,0.8638,3,211571,1.42E-05,5
Wyoming,2000,3846,3221,0.8375,3,218351,1.37E-05,6
Wyoming,2001,3760,3588,0.9543,3,218351,1.37E-05,6
Wyoming,2002,3438,3666,1.0663,3,218351,1.37E-05,6
Wyoming,2003,3313,4226,1.2756,3,218351,1.37E-05,6
Wyoming,2004,3542,4393,1.2403,3,243428,1.23E-05,7
Wyoming,2005,4209,4782,1.1361,3,243428,1.23E-05,7
